"pointsID","Points:0","Points:1","Points:2"
16,0.2387527674,-0.7721868157,-2.044962883
0,0.2502342761,-0.7898748517,-2.036818504
13,0.2816812098,-0.7746098638,-2.03857398
9,0.299205035,-0.7584865093,-2.042136908
14,0.2673993409,-0.773763895,-2.040817499
2,0.2760195732,-0.722600162,-2.058351517
3,0.2612458766,-0.721835494,-2.060546875
5,0.287822336,-0.7405273318,-2.050347805
1,0.2907734811,-0.7234258056,-2.056028843
7,0.2439524531,-0.7381905317,-2.056869268
12,0.2413806766,-0.7552105188,-2.050985336
